Circumstances,Target
airplane departed nassau airport antisubmarine exercise six crew member board crew reported position great sale cay requested permission descent exercise believed pilotincommand lost control airplane crashed sea km southwest clifton bluff trace wreckage found six crew member one raaf five rcaf considered deceased following test found raf record book b fr dx airborne antisubmarine patrol number sent signal reporting position great sale cay requested permission descent cloud exercise aircraft failed reply signal commence exercise heard failed return base overdue action taken four aircraft dispatched search water adjacent island b fv ff airborne search missing aircraft nm southwest main field smoke sighted tree crew caught sight wrecked plane area circled aircraft found baltimore aircraft signal sent base conveying information aircraft continued search oil patch sighted patch yard wide seemed extend wind direction aircraft returned base captain gave fuller detail controller information passed marine craft lyford cay ordered put sea investigate oil patch aircraft set course position oil patch aircraft passed coast asr launch lyford cay seen heading towards oil patch aircraft directly oil patch smoke float dropped aircraft flew launch headed towards patch dived foot patch continued search oil patch launch observed reduced speed proceeding southeast patch instruction received continue search area sailing vessel observed nm north patch heading towards nassau aircraft landed back nothing report b fr df airborne search south island distance nm shore oil patch aircraft circled investigate message received base message sent base asr launch standing aircraft oil patch oil patch extended mile length westtoeast direction patch appeared extend wind narrow end sign dinghy survivor wreckage aircraft remained patch minute constant series orange flash seen emerging two point near narrow point oil patch flash appeared surface appeared frequently irregular interval message sent base aircraft returning asr boat still standing aircraft landed back nothing report whilst aircraft oil patch joined two aircraft b fv fd airborne search missing aircraft receipt signal base search area oil patch aircraft proceeded reported position observed two aircraft vicinity asr launch seen searching oil patch series yellow flash surface water appearing easterly end oil patch presumed smoke float aircraft returned base,83
crew left raf langar lt bombing mission torino en route cruising altitude foot crew encountered stormy weather decided reduce altitude reroute poor visibility aircraft hit slope mt le grammont located southwest le bouveret seven crew member killed crew th squadron po horace badge pilot sgt robert wood flight engineer f ronald oswald charles brett air gunner sgt james arthur spence air gunner sgt edward higgins wireless operator sgt arthur charles wright observer flt arthur charles jepps navigator,2
approaching catania dropping mission aircraft shot italian flak crashed mediterranean sea km northeast city four crew member killed crew th tcg nd lt douglas carter lt col gordon curtis jr tsgt angelo e rinaldi tsgt james w yenne,4
aircraft departed dibrugarhmohanbari airport bound kunming en route cruising region sookerating lt crew contacted ground obtain weather briefing kunming airport last radio transmission aircraft crashed unknown circumstance somewhere sookerating kunming probably mountain assam state trace ever found crew st tpg nd lt howard g bushey st lt robert coker ssgt walter hynes,51
crew taking part invasion sicily operation christened husky approaching catania twin engine aircraft shot italian flak crashed field located south catania crew member killed crew th tc sgt herbert rhoads st lt clyde w saunders ssgt joseph serosky st lt sidney slotoroff,4
approaching catania paradrop mission aircraft shot italian flak crashed field located km south catania two crew member killed two others injured crew th tcg killed st lt james g murchison jr sgt william b shuck,4
crew taking part invasion sicily operation christened husky approaching catania twin engine aircraft shot italian flak crashed field located km south catania crew member killed crew th tc tsgt william gesek nd lt robert c malone jr st lt raymond runzel sgt peter sheridan,4
crew engaged night training flight shortly take low height aircraft stalled hit ground overrun hit perimeter fence came rest flame three crew killed crew st otu sl wilfred williams lac harold beale cpl wilfred gibbon,13
completing training sortie pilot became lost due fuel exhaustion forced attempt emergency landing beach located coffs harbour four crew member rescued aircraft lost accident occurred flight almost hour two hour beyond accepted endurance crew fo james swann pilot h morton wireless operator air gunner,74
seaplane left honiarahenderson field lt july hour antisubmarine mission night cruising along vella lavella island left engine caught fire captain attempted ditch aircraft hundred yard shore aircraft crash landed sank immediately crew member rescued crew lt james w anderson pilot source httpwwwvpnavycomvpmishaphtml,74
lost without trace gulf mexico maritime patrol flight,78
aircraft left grenada afb combined exercise five dakota en route cruising altitude foot aircraft collided usaf cdl registered carrying crew six aircraft went control dove ground crashed field located mile north airbase ten crew member aircraft killed crew nd lt david p brubaker nd lt edward heflin jr ssgt leslie l lamb cpl henry c manson,4
catalina modified accommodate nine lens aerial mapping camera developed coast geodetic survey aircraft manned combined crew coast guard coast geodetic survey personnel crashed mount moffett located mile northwest adak aleutian island survey mission eight crew member killed crew lcdr george olson cdr harry bolles lcdr edward l carpenter jr en joe sosbee en ray b elliott amm charles e isakson rm arthur boeke amm curtis k drennan source httpwwwchecksixcom,4
en route fourengine bomber christened tokyo taxi shot pilot japanese fighter crashed flame near kahili airfield region buin ten crew member killed crew rd b cpl william davis st lt rex eckles nd lt william h fox ssgt raymond h greene sgt paul l hensley cpl edmund hill nd lt david c jones sgt herbert j kelly nd lt richard h knop sgt charles savedge,4
